%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
3364662000000,327813,3364662000000,world,-2.47031522794,0.222105201063,1.9144176666,-0.000639997790963,-0.0030903819786,0.372318945241,-0.92809947902
3364672000000,327814,3364672000000,world,-2.46920113886,0.22102578267,1.91441769654,-0.000648137698665,-0.00311454650823,0.37196290266,-0.928242144358
3364682000000,327815,3364682000000,world,-2.46808282092,0.219943841341,1.91441773279,-0.000641700449787,-0.00310256787371,0.37160674674,-0.928384827575
3364692000000,327816,3364692000000,world,-2.46696149235,0.218860541083,1.91441779567,-0.000600362457537,-0.00300355546218,0.371250523386,-0.928527687851
3364702000000,327817,3364702000000,world,-2.46583548391,0.217774294556,1.91441785469,-0.000555116150622,-0.00289484146896,0.370894190978,-0.928670453303
3364712000000,327818,3364712000000,world,-2.46470457211,0.216684896083,1.91441790343,-0.000512577857067,-0.00279295297379,0.370537734572,-0.928813072655
3364722000000,327819,3364722000000,world,-2.46356898394,0.21559256881,1.91441794438,-0.000471521690104,-0.00269480753848,0.370181158875,-0.928955556146
3364732000000,327820,3364732000000,world,-2.46242889058,0.214497482436,1.91441797935,-0.000431573712784,-0.00259944917253,0.369824465377,-0.929097907336
3364741000000,327821,3364742000000,world,-2.46128442856,0.213399773583,1.91441800944,-0.000392875571139,-0.00250721599763,0.369467655883,-0.929240125464
3364752000000,327822,3364752000000,world,-2.46013573173,0.212299576218,1.91441803567,-0.000355532561162,-0.00241835835771,0.369110731522,-0.929382210404
3364762000000,327823,3364762000000,world,-2.45898293206,0.211197022335,1.91441805902,-0.000319594686349,-0.00233299037846,0.368753693777,-0.929524162322
3364772000000,327824,3364772000000,world,-2.45782615742,0.210092239839,1.91441808039,-0.000285091520432,-0.00225117698796,0.368396543967,-0.929665981586
3364782000000,327825,3364782000000,world,-2.4566640045,0.208983918775,1.91441807872,-0.000277697006799,-0.00223775424415,0.368039263276,-0.929807515579
3364793000000,327826,3364792000000,world,-2.45549276397,0.20786859377,1.91441799949,-0.000359514952887,-0.00244983121075,0.367681831532,-0.929948353317
3364802000000,327827,3364802000000,world,-2.45431744747,0.206750983358,1.91441791674,-0.000441173791918,-0.00266178228986,0.367324357827,-0.930088993821
3364812000000,327828,3364812000000,world,-2.45313878462,0.205631777045,1.91441784876,-0.000505012734808,-0.00282888917508,0.366966815533,-0.930229594587
3364822000000,327829,3364822000000,world,-2.45195620257,0.204510444029,1.91441779056,-0.000556304243024,-0.00296443741453,0.366609199449,-0.93037014006
3364832000000,327830,3364832000000,world,-2.4507693378,0.203386650986,1.91441773849,-0.000597626162244,-0.00307492136025,0.366251497363,-0.930510627763
